experiment_id,primary_injection_acronym,red,green,blue
114292355,SSp-ll,0,204,0
158435116,ORBvl,125,26,142
112162251,SSp-bfd,255,204,0
100140756,MOs,206,4,9
100141219,VISp,0,112,192
272916915,RSPagl,68,2,166
127138787,VISp,0,0,204
100141454,MOs,253,119,129
100141563,MOp,244,238,0
180073473,AUDd,0,138,135
126861679,PTLp,153,0,255
174361040,VISp,51,51,153
272737914,GU,102,0,51
100149969,SSs,187,102,17
127866392,SSp-bfd,139,188,0
139426984,ACAd,204,51,153
272697944,SSp-un,255,99,21
180673746,AId,165,0,33
113887868,VISp,51,51,255
115958825,AUDd,0,210,205
157711748,PL,192,0,0
